====[USD/JPY]====
[2013-02-27]判定:売[終値:90.12↑(高値:90.2500↓,安値:88.7400↑), EMA12:91.2143↓,EMA26:91.2041↓,MACD:0.0103↓,SIGNAL:0.5934↓,分析値:-0.58↑, 変化値:98.54↓(差:8.42↓)]
[2013-02-28]判定:売[終値:89.76↓(高値:90.5300↑,安値:89.4900↑), EMA12:90.9906↓,EMA26:91.0971↓,MACD:-0.1065↓,SIGNAL:0.4534↓,分析値:-0.56↑, 変化値:97.92↓(差:8.16↓)]
[2013-03-01]判定:売[終値:91.09↑(高値:91.1400↑,安値:89.6500↑), EMA12:91.0059↑,EMA26:91.0966↓,MACD:-0.0907↑,SIGNAL:0.3446↓,分析値:-0.44↑, 変化値:96.38↓(差:5.29↓)]
[2013-03-04]判定:売[終値:90.94↓(高値:91.1100↓,安値:90.4400↑), EMA12:90.9958↓,EMA26:91.0850↓,MACD:-0.0892↑,SIGNAL:0.2578↓,分析値:-0.35↑, 変化値:95.27↓(差:4.33↓)]
[2013-03-05]判定:売[終値:90.80↓(高値:91.0500↓,安値:90.5300↑), EMA12:90.9656↓,EMA26:91.0639↓,MACD:-0.0982↓,SIGNAL:0.1866↓,分析値:-0.28↑, 変化値:94.45↓(差:3.65↓)]
[2013-03-06]判定:売[終値:91.12↑(高値:91.2000↑,安値:90.5000↓), EMA12:90.9894↑,EMA26:91.0680↑,MACD:-0.0786↑,SIGNAL:0.1336↓,分析値:-0.21↑, 変化値:93.58↓(差:2.46↓)]
[2013-03-07]判定:売[終値:92.08↑(高値:92.2500↑,安値:90.8800↑), EMA12:91.1572↑,EMA26:91.1430↑,MACD:0.0142↑,SIGNAL:0.1097↓,分析値:-0.10↑, 変化値:92.37↓(差:0.29↓)]

====[GBP/JPY]====
[2013-02-22]判定:売[終値:141.77↓(高値:142.9900↑,安値:141.6900↑), EMA12:143.9192↓,EMA26:143.6251↓,MACD:0.2942↓,SIGNAL:1.0243↓,分析値:-0.73↓, 変化値:153.35↑(差:11.58↑)]
[2013-02-25]判定:売[終値:138.35↓(高値:142.7500↓,安値:137.8800↓), EMA12:143.0624↓,EMA26:143.2343↓,MACD:-0.1719↓,SIGNAL:0.7851↓,分析値:-0.96↓, 変化値:154.90↑(差:16.55↑)]
[2013-02-26]判定:売[終値:139.06↑(高値:140.5300↓,安値:137.8300↓), EMA12:142.4467↓,EMA26:142.9251↓,MACD:-0.4785↓,SIGNAL:0.5324↓,分析値:-1.01↓, 変化値:154.68↓(差:15.62↓)]
[2013-02-27]判定:売[終値:139.79↑(高値:139.9300↓,安値:138.1300↑), EMA12:142.0380↓,EMA26:142.6929↓,MACD:-0.6549↓,SIGNAL:0.2949↓,分析値:-0.95↑, 変化値:153.34↓(差:13.55↓)]
[2013-02-28]判定:売[終値:140.32↑(高値:140.8400↑,安値:139.4400↑), EMA12:141.7737↓,EMA26:142.5171↓,MACD:-0.7435↓,SIGNAL:0.0872↓,分析値:-0.83↑, 変化値:151.50↓(差:11.18↓)]
[2013-03-01]判定:売[終値:140.64↑(高値:140.8800↑,安値:139.0900↓), EMA12:141.5992↓,EMA26:142.3781↓,MACD:-0.7788↓,SIGNAL:-0.0860↓,分析値:-0.69↑, 変化値:149.57↓(差:8.93↓)]
[2013-03-04]判定:売[終値:141.22↑(高値:141.2200↑,安値:140.2000↑), EMA12:141.5409↓,EMA26:142.2923↓,MACD:-0.7514↑,SIGNAL:-0.2191↓,分析値:-0.53↑, 変化値:147.52↓(差:6.30↓)]
[2013-03-05]判定:売[終値:141.07↓(高値:141.4200↑,安値:140.5400↑), EMA12:141.4685↓,EMA26:142.2018↓,MACD:-0.7333↑,SIGNAL:-0.3219↓,分析値:-0.41↑, 変化値:145.95↓(差:4.88↓)]
[2013-03-06]判定:売[終値:141.24↑(高値:141.4500↑,安値:140.6800↑), EMA12:141.4333↓,EMA26:142.1305↓,MACD:-0.6972↑,SIGNAL:-0.3970↓,分析値:-0.30↑, 変化値:144.55↓(差:3.31↓)]
[2013-03-07]判定:売[終値:142.34↑(高値:142.9500↑,安値:140.5700↓), EMA12:141.5728↑,EMA26:142.1460↑,MACD:-0.5732↑,SIGNAL:-0.4322↓,分析値:-0.14↑, 変化値:142.81↓(差:0.47↓)]

====[HKD/JPY]====
[2013-02-22]判定:売[終値:12.03↑(高値:12.0400↓,安値:11.9900↑), EMA12:12.0090↑,EMA26:11.8564↑,MACD:0.1525↓,SIGNAL:0.1826↓,分析値:-0.03↓, 変化値:12.53↑(差:0.50↓)]
[2013-02-25]判定:売[終値:11.75↓(高値:12.1400↑,安値:11.7300↓), EMA12:11.9691↓,EMA26:11.8485↓,MACD:0.1206↓,SIGNAL:0.1702↓,分析値:-0.05↓, 変化値:12.71↑(差:0.96↑)]
[2013-02-26]判定:売[終値:11.84↑(高値:11.9200↓,安値:11.7600↑), EMA12:11.9493↓,EMA26:11.8479↓,MACD:0.1013↓,SIGNAL:0.1564↓,分析値:-0.06↓, 変化値:12.74↑(差:0.90↓)]
[2013-02-27]判定:売[終値:11.88↑(高値:11.8900↓,安値:11.7600↑), EMA12:11.9386↓,EMA26:11.8503↑,MACD:0.0883↓,SIGNAL:0.1428↓,分析値:-0.05↑, 変化値:12.71↓(差:0.83↓)]
[2013-02-28]判定:売[終値:11.92↑(高値:11.9400↑,安値:11.8700↑), EMA12:11.9357↓,EMA26:11.8555↑,MACD:0.0803↓,SIGNAL:0.1303↓,分析値:-0.05↑, 変化値:12.64↓(差:0.72↓)]
[2013-03-01]判定:売[終値:12.04↑(高値:12.0400↑,安値:11.9000↑), EMA12:11.9518↑,EMA26:11.8691↑,MACD:0.0827↑,SIGNAL:0.1208↓,分析値:-0.04↑, 変化値:12.51↓(差:0.47↓)]
[2013-03-04]判定:売[終値:12.04↑(高値:12.0500↑,安値:12.0200↑), EMA12:11.9654↑,EMA26:11.8818↑,MACD:0.0836↑,SIGNAL:0.1133↓,分析値:-0.03↑, 変化値:12.42↓(差:0.38↓)]
[2013-03-05]判定:売[終値:12.02↓(高値:12.0500↑,安値:11.9800↓), EMA12:11.9738↑,EMA26:11.8920↑,MACD:0.0817↓,SIGNAL:0.1070↓,分析値:-0.03↑, 変化値:12.37↓(差:0.35↓)]
[2013-03-06]判定:売[終値:12.10↑(高値:12.1000↑,安値:12.0100↑), EMA12:11.9932↑,EMA26:11.9074↑,MACD:0.0858↑,SIGNAL:0.1028↓,分析値:-0.02↑, 変化値:12.29↓(差:0.19↓)]
[2013-03-07]判定:売[終値:12.22↑(高値:12.2300↑,安値:12.1000↑), EMA12:12.0281↑,EMA26:11.9306↑,MACD:0.0975↑,SIGNAL:0.1017↓,分析値:-0.00↑, 変化値:12.23↓(差:0.01↓)]

====[ZAR/JPY]====
[2013-02-22]判定:売[終値:10.52↑(高値:10.5200↓,安値:10.4300↑), EMA12:10.4802↑,EMA26:10.3656↑,MACD:0.1146↓,SIGNAL:0.1285↓,分析値:-0.01↓, 変化値:10.77↑(差:0.25↓)]
[2013-02-25]判定:売[終値:10.27↓(高値:10.6500↑,安値:10.2500↓), EMA12:10.4478↓,EMA26:10.3585↓,MACD:0.0893↓,SIGNAL:0.1207↓,分析値:-0.03↓, 変化値:10.93↑(差:0.66↑)]
[2013-02-26]判定:売[終値:10.40↑(高値:10.4700↓,安値:10.3100↑), EMA12:10.4405↓,EMA26:10.3616↑,MACD:0.0789↓,SIGNAL:0.1123↓,分析値:-0.03↓, 変化値:10.94↑(差:0.54↓)]
[2013-02-27]判定:売[終値:10.43↑(高値:10.4300↓,安値:10.2700↓), EMA12:10.4389↓,EMA26:10.3666↑,MACD:0.0722↓,SIGNAL:0.1043↓,分析値:-0.03↑, 変化値:10.91↓(差:0.48↓)]
[2013-02-28]判定:売[終値:10.26↓(高値:10.4500↑,安値:10.2500↓), EMA12:10.4113↓,EMA26:10.3587↓,MACD:0.0526↓,SIGNAL:0.0940↓,分析値:-0.04↓, 変化値:10.98↑(差:0.72↑)]
[2013-03-01]判定:売[終値:10.30↑(高値:10.3100↓,安値:10.1800↓), EMA12:10.3942↓,EMA26:10.3544↓,MACD:0.0398↓,SIGNAL:0.0831↓,分析値:-0.04↓, 変化値:10.98↑(差:0.68↓)]
[2013-03-04]判定:売[終値:10.29↓(高値:10.3000↓,安値:10.2300↑), EMA12:10.3782↓,EMA26:10.3496↓,MACD:0.0286↓,SIGNAL:0.0722↓,分析値:-0.04↓, 変化値:10.96↓(差:0.67↓)]
[2013-03-05]判定:売[終値:10.31↑(高値:10.3100↑,安値:10.2200↓), EMA12:10.3677↓,EMA26:10.3467↓,MACD:0.0210↓,SIGNAL:0.0620↓,分析値:-0.04↑, 変化値:10.91↓(差:0.60↓)]
[2013-03-06]判定:売[終値:10.29↓(高値:10.3200↑,安値:10.2600↑), EMA12:10.3557↓,EMA26:10.3425↓,MACD:0.0132↓,SIGNAL:0.0522↓,分析値:-0.04↑, 変化値:10.86↓(差:0.57↓)]
[2013-03-07]判定:売[終値:10.37↑(高値:10.3900↑,安値:10.2500↓), EMA12:10.3579↑,EMA26:10.3445↑,MACD:0.0134↑,SIGNAL:0.0445↓,分析値:-0.03↑, 変化値:10.76↓(差:0.39↓)]

